TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2017-10-17 09:15:58.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-17 09:15:59.060,1.034554965812961,1.288246276423073,0,1.049571208844843,0.8741293603962891,0.5160113355094836,0,0.8630469736717514,1.278223873120412,0.6149009055304735,0,0.9492267066828657,0.6924062448655868,0.2193259333279968,0,0.4797576345991956,0.3429188619092614,-0.05098903608133963,0,-0.03054935067501288,817.948717948718,823.1868131868132,26.19047619047619,832.8571428571429,1650,0.719055,0.207092,0.753357,-6.691742,-1.173859,2.011261,1,1,1,4,1,26.703125
2017-10-17 09:15:59.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-17 09:16:00.080,0.5203855365595148,1.685939243827239,0,0.7321875968053753,0.1797808378823355,0.7926487897860981,0,0.351436133336335,0.2144278252788442,0.6594462284851816,0,0.4814043151190667,0.5507383510795544,0.3684512244252641,0,0.3920988226389041,0.194451483416488,-0.08791286144844275,0,0.1161844976491769,770.8058608058608,903.7728937728938,1275.677655677656,834.0659340659341,1650,0.011414,0.135498,0.980896,4.366455,4.598236,1.973877,1,1,1,2,1,26.703125
2017-10-17 09:16:00.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-17 09:16:01.061,0.6297003634092642,1.940601151138351,0,0.8196027395741344,0.2343908409501414,0.887600501556383,0,0.2366950222305953,0.09078253435005605,0.6285911369723461,0,0.349079541451811,0.5653489093133597,0.4111817101008559,0,0.3272584834011266,0.1375208922556378,-0.3235325435418566,0,0.1084630323657442,827.6190476190476,856.6300366300367,26.19047619047619,844.1391941391942,1650,0.365845,0.159973,0.932129,4.523468,-37.720490,-3.484192,1,1,1,4,1,26.703125
2017-10-17 09:16:01.730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-17 09:16:02.069,0.6297003634092642,1.677516778548871,0,0.8196027395741344,0.2343908409501414,0.967021134145801,0,0.2366950222305953,0.09078253435005605,0.4677222150081251,0,0.349079541451811,0.5653489093133597,0.2760478694486662,0,0.3272584834011266,0.1375208922556378,-0.2658692911144219,0,0.1084630323657442,860.6593406593407,873.956043956044,878.7912087912089,856.2271062271062,1650,0.198486,0.134766,0.973877,0.695343,6.504822,5.876770,1,2,1,4,2,26.703125
2017-10-17 09:16:03.069,0.6297003634092642,1.681359376425508,0,0.8196027395741344,0.2343908409501414,1.050358462971117,0,0.2366950222305953,0.09078253435005605,1.056925004205904,0,0.349079541451811,0.5653489093133597,0.0993160967986931,0,0.3272584834011266,0.1375208922556378,-0.1043503840734343,0,0.1084630323657442,837.6923076923077,874.3589743589744,1238.608058608059,863.0769230769231,1650,0.147705,0.156067,0.983643,-0.418701,2.990723,4.074860,1,2,1,4,2,26.703125
2017-10-17 09:16:04.063,0.6062095555477407,0.8987989456560227,0,0.6578061099358713,0.5438930706564316,0.295513717026298,0,0.1255359952611553,0.7263948786259619,0.1839083516305407,0,0.2753142325018529,0.5037404100998812,-0.01247807410438473,0,0.0736798397937445,0.02242108902877876,-0.1922657439229257,0,-0.3397225745328034,850.5860805860806,863.0769230769231,26.19047619047619,858.6446886446887,1650,0.150330,0.158325,0.982605,-0.620575,-0.171967,4.441223,1,1,1,4,1,26.703125
2017-10-17 09:16:05.073,0.6438583025420096,0.6920662231869443,0,0.5925204927416293,0.6350165698536148,0.4685107783280017,0,0.2231434341589459,0.7556546671168057,0.2589430424215862,0,0.4357331082569698,0.3475248095624851,0.1289341855675717,0,0.152432856411808,0.2286157987712791,-0.08093647074210542,0,-0.2165702266908647,856.2271062271062,852.6007326007326,231.2820512820513,856.2271062271062,1650,0.126282,0.158630,0.976196,-0.867310,2.130890,3.701019,1,1,1,2,1,26.703125
