TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2017-10-12 14:57:30.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-12 14:57:30.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2017-10-12 14:57:30.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2017-10-12 14:57:31.431,1.693626925201601,1.566339692423937,0,1.397280377999232,0.98831632259833,0.8567209654135057,0,0.8403852103299733,1.016790636617939,0.5776473452412751,0,1.005777315698923,0.9939380550046415,0.4866262588954827,0,0.7044497265624865,0.7710973636752747,0.3770290779896985,0,0.2553012018426616,784.5054945054945,856.6300366300367,1411.868131868132,853.8095238095239,852.6007326007326,0.483826,0.218506,0.872253,0.889740,-2.848663,2.295380,1,1,2,2,1,5.250000
2017-10-12 14:57:31.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2017-10-12 14:57:31.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-12 14:57:32.443,1.606786496595227,1.566339692423937,0,1.056870082258791,0.9931515722398946,0.8567209654135057,0,0.7984696424926093,0.9854125737388594,0.5776473452412751,0,0.7499285260729749,0.9029771244268217,0.4866262588954827,0,0.5917542651903279,0.7644935985836807,0.3770290779896985,0,0.008732893315984005,760.7326007326008,628.974358974359,543.5531135531136,818.3516483516484,906.996336996337,-0.084045,0.134399,0.987244,-0.276642,5.630035,2.953339,1,1,2,4,1,5.234375
2017-10-12 14:57:32.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-12 14:57:33.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2017-10-12 14:57:33.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-12 14:57:33.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2017-10-12 14:57:33.446,1.480182556410788,1.566339692423937,0,1.016225113151654,0.9772473991808006,0.8567209654135057,0,0.8460210658664911,0.8959462271714297,0.5776473452412751,0,0.4280108994865849,0.7935171429966116,0.4866262588954827,0,0.4567524880274629,0.761615648340252,0.3770290779896985,0,-0.08372494291659416,817.948717948718,1058.095238095238,1566.190476190476,863.0769230769231,870.7326007326008,-0.056702,0.149658,0.988525,-1.226196,1.233673,2.497253,1,1,4,4,1,5.234375
2017-10-12 14:57:34.434,1.480182556410788,1.566339692423937,0,1.016225113151654,0.9772473991808006,0.8567209654135057,0,0.8460210658664911,0.8959462271714297,0.5776473452412751,0,0.4280108994865849,0.7935171429966116,0.4866262588954827,0,0.4567524880274629,0.761615648340252,0.3770290779896985,0,-0.08372494291659416,811.9047619047619,747.032967032967,873.1501831501831,825.6043956043957,868.7179487179487,-0.041504,0.162598,0.984497,-1.532745,4.702911,3.566437,1,2,4,2,2,5.234375
2017-10-12 14:57:35.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2017-10-12 14:57:35.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-12 14:57:35.443,1.480182556410788,1.566339692423937,0,1.593330747174715,0.9772473991808006,0.8567209654135057,0,1.364880907606631,0.8959462271714297,0.5776473452412751,0,1.148340395529702,0.7935171429966116,0.4866262588954827,0,0.6431129248126787,0.761615648340252,0.3770290779896985,0,0.2882064058500922,831.6483516483516,890.4761904761905,294.1391941391942,854.6153846153846,914.6520146520147,-0.055847,0.145630,0.985596,-1.540222,2.429962,1.338348,1,1,2,4,1,5.234375
2017-10-12 14:57:36.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-10-12 14:57:36.430,1.480182556410788,1.566339692423937,0,1.702764056306212,0.9772473991808006,0.8567209654135057,0,1.549397514747806,0.8959462271714297,0.5776473452412751,0,1.129730611091111,0.7935171429966116,0.4866262588954827,0,0.7573311515196459,0.761615648340252,0.3770290779896985,0,0.2715112314611227,817.948717948718,832.4542124542124,925.1282051282052,890.0732600732601,928.3516483516484,-0.059998,0.143311,0.990295,-0.456085,2.504730,1.899109,1,1,1,4,1,5.234375
